,trial,score_dif,userid,gridtype,gridnum
99593,6,1.0,143,Push,107
99605,8,1.0,130,Push,105
99701,1,0.0,160,Push,103
99785,3,1.0,159,Push,108
99917,3,0.0,146,Push,104
100079,4,1.0,146,Push,101
100127,8,1.0,126,Push,103
100229,8,1.0,145,Push,108
100265,4,1.0,159,Push,104
100319,3,0.0,150,Push,107
100463,7,1.0,142,Push,104
100553,4,0.0,144,Push,103
100643,7,0.0,143,Push,106
100673,5,1.0,146,Push,102
100787,3,0.0,155,Push,101
100841,6,0.0,146,Push,103
100925,7,1.0,71,Push,105
100997,1,1.0,163,Push,103
101063,8,1.0,143,Push,105
101117,2,1.0,160,Push,101
101189,5,1.0,159,Push,101
